seating,name,calories,protein,carbs,fat,organic,vegetarian,glutenFree,vegan
Breakfast,Assorted Bagels,310,11,62,3,FALSE,TRUE,FALSE,FALSE
Breakfast,Assorted Donuts,213.77,2.47,23.91,12.17,FALSE,TRUE,FALSE,FALSE
Breakfast,Chocolate Croissant,278.33,5.08,34,14,FALSE,TRUE,FALSE,FALSE
Breakfast,Cinnamon Sweet Potato Muffin,191.01,2.94,21.4,11.01,FALSE,TRUE,FALSE,FALSE
Breakfast,Lemon Yogurt Bread,311.41,5.9,49.99,9.99,FALSE,TRUE,FALSE,FALSE
Breakfast,Orange Cranberry Muffin,183.89,2.98,32.52,4.7,FALSE,FALSE,FALSE,TRUE
Breakfast,Blueberry Muffin,143.49,2.22,26.04,4.12,FALSE,TRUE,TRUE,FALSE
Breakfast,Greek Vanilla Yogurt Parfait,172.73,10.73,30.25,3.2,FALSE,TRUE,FALSE,FALSE
Breakfast,Organic Strawberry Yogurt Parfait,186.34,6.4,35.65,4.01,TRUE,TRUE,FALSE,FALSE
Breakfast,Cheese Omelet,178.87,16.09,1.5,11.36,FALSE,TRUE,TRUE,FALSE
Breakfast,Assorted Veggie Toppings,35.02,2.56,7.05,0.31,FALSE,FALSE,TRUE,TRUE
Breakfast,Bacon,140,8,0,12,FALSE,FALSE,TRUE,FALSE
Breakfast,Sliced Ham,70.87,10.12,1.01,3.04,FALSE,FALSE,TRUE,FALSE
Breakfast,Sliced Turkey,50.62,11.14,1.01,1.01,FALSE,FALSE,TRUE,FALSE
Breakfast,Fried Tater Tots,230.88,2.43,23.08,13.98,FALSE,FALSE,TRUE,TRUE
Breakfast,Scrambled Eggs,122.6,11.54,1.98,7.08,FALSE,TRUE,TRUE,FALSE
Breakfast,Cage Free Hard Boiled Egg,77.5,6.29,0.56,5.3,FALSE,TRUE,TRUE,FALSE
Breakfast,Tofu-Potato Hash,90.93,4.63,9.18,3.98,FALSE,FALSE,TRUE,TRUE
Breakfast,Veggie Sausage Patties,97,12,3,4,FALSE,TRUE,FALSE,FALSE
Breakfast,Bacon,140,8,0,12,FALSE,FALSE,TRUE,FALSE
Breakfast,Pork Sausage Gravy,79.41,2.94,5.79,4.96,FALSE,FALSE,TRUE,FALSE
Breakfast,Biscuits,160,3,18,9,FALSE,TRUE,FALSE,FALSE
Breakfast,Fried Tater Tots,230.88,2.43,23.08,13.98,FALSE,FALSE,TRUE,TRUE
Breakfast,French Toast,161.41,10.02,24.57,2.86,FALSE,FALSE,FALSE,FALSE
Breakfast,Oatmeal,63.96,2.13,11.51,1.28,FALSE,FALSE,FALSE,TRUE
